team,round,plus_minus,total_picks,avg_plus_minus_per_pick,team_color
Anaheim,1,-232,15,-15.47,#F47A38
Anaheim,2,-270,16,-16.88,#F47A38
Anaheim,3,-47,12,-3.92,#F47A38
Anaheim,4,270,10,27.0,#F47A38
Anaheim,5,624,12,52.0,#F47A38
Anaheim,6,595,7,85.0,#F47A38
Anaheim,7,710,6,118.33,#F47A38
Arizona,1,-402,18,-22.33,#8C2633
Arizona,2,-294,13,-22.62,#8C2633
Arizona,3,-108,14,-7.71,#8C2633
Arizona,4,231,9,25.67,#8C2633
Arizona,5,606,11,55.09,#8C2633
Arizona,6,353,6,58.83,#8C2633
Arizona,7,1127,11,102.45,#8C2633
Boston,1,-302,14,-21.57,#FFB81C
Boston,2,-262,15,-17.47,#FFB81C
Boston,3,63,6,10.5,#FFB81C
Boston,4,285,9,31.67,#FFB81C
Boston,5,613,11,55.73,#FFB81C
Boston,6,942,11,85.64,#FFB81C
Boston,7,1301,12,108.42,#FFB81C
Buffalo,1,-296,15,-19.73,#003087
Buffalo,2,-362,15,-24.13,#003087
Buffalo,3,-65,14,-4.64,#003087
Buffalo,4,304,10,30.4,#003087
Buffalo,5,640,14,45.71,#003087
Buffalo,6,708,8,88.5,#003087
Buffalo,7,1660,16,103.75,#003087
Calgary,1,-348,12,-29.0,#D2001C
Calgary,2,-112,8,-14.0,#D2001C
Calgary,3,-92,12,-7.67,#D2001C
Calgary,4,470,12,39.17,#D2001C
Calgary,5,413,9,45.89,#D2001C
Calgary,6,849,10,84.9,#D2001C
Calgary,7,1426,14,101.86,#D2001C
Carolina,1,-271,12,-22.58,#CC0000
Carolina,2,11,13,0.85,#CC0000
Carolina,3,-39,13,-3.0,#CC0000
Carolina,4,390,14,27.86,#CC0000
Carolina,5,477,10,47.7,#CC0000
Carolina,6,781,10,78.1,#CC0000
Carolina,7,949,9,105.44,#CC0000
Chicago,1,-187,12,-15.58,#CF0A2C
Chicago,2,-433,19,-22.79,#CF0A2C
Chicago,3,-85,15,-5.67,#CF0A2C
Chicago,4,485,15,32.33,#CF0A2C
Chicago,5,775,14,55.36,#CF0A2C
