draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score
2014,5,144,Colorado Avalanche,Anton Lindholm,D,66.0,5.0,77.45
2014,5,145,Pittsburgh Penguins,Anthony Angello,C,31.0,5.0,42.45
2014,5,146,Boston Bruins,Anders Bjork,L,225.0,61.0,364.69
2014,5,147,Montreal Canadiens,Daniel Audette,C,0.0,0.0,0.0
2014,5,148,Chicago Blackhawks,Andreas Soderberg,D,0.0,0.0,0.0
2014,5,149,San Jose Sharks,Rourke Chartier,C,56.0,4.0,65.16
2014,6,151,Buffalo Sabres,Christopher Brown,F,0.0,0.0,0.0
2014,6,152,New Jersey Devils,J.D. Dudek,F,0.0,0.0,0.0
2014,6,153,Edmonton Oilers,Tyler Vesel,R,0.0,0.0,0.0
2014,6,154,Dallas Stars,Aaron Haydon,D,0.0,0.0,0.0
2014,6,155,New York Islanders,Kyle Schempp,F,0.0,0.0,0.0
2014,6,156,Vancouver Canucks,Kyle Pettit,C,0.0,0.0,0.0
2014,6,157,Los Angeles Kings,Jake Marchment,C,0.0,0.0,0.0
2014,6,158,Toronto Maple Leafs,Nolan Vesey,F,0.0,0.0,0.0
2014,6,159,Washington Capitals,Steven Spinner,F,0.0,0.0,0.0
2014,6,160,Minnesota Wild,Pontus Sjalin,D,0.0,0.0,0.0
2014,6,161,New Jersey Devils,Brandon Baddock,L,1.0,0.0,1.0
2014,6,162,Nashville Predators,Aaron Irving,D,0.0,0.0,0.0
2014,6,163,Arizona Coyotes,David Westlund,D,0.0,0.0,0.0
2014,6,164,Winnipeg Jets,Pavel Kraskovsky,C,0.0,0.0,0.0
2014,6,165,Dallas Stars,John Nyberg,D,0.0,0.0,0.0
2014,6,166,Detroit Red Wings,Julius Vahatalo,F,0.0,0.0,0.0
2014,6,167,Minnesota Wild,Chase Lang,R,0.0,0.0,0.0
2014,6,168,Philadelphia Flyers,Radel Fazleev,C,0.0,0.0,0.0
2014,6,169,Minnesota Wild,Reid Duke,C,0.0,0.0,0.0
2014,6,170,Tampa Bay Lightning,Cristiano DiGiacinto,L,0.0,0.0,0.0
2014,6,171,San Jose Sharks,Kevin Labanc,R,512.0,237.0,733.37
2014,6,172,St. Louis Blues,Chandler Yakimowicz,R,0.0,0.0,0.0
2014,6,173,Pittsburgh Penguins,Jaden Lindo,R,0.0,0.0,0.0
2014,6,175,Calgary Flames,Adam Ollas Mattsson,D,0.0,0.0,0.0
2014,6,176,St. Louis Blues,Sammy Blais,L,278.0,79.0,458.91
2014,6,178,Chicago Blackhawks,Dylan Sikura,R,58.0,17.0,96.93
2014,6,180,Los Angeles Kings,Matthew Mistele,L,0.0,0.0,0.0
2014,7,181,Buffalo Sabres,Victor Olofsson,L,444.0,242.0,800.34
2014,7,184,Calgary Flames,Austin Carroll,R,0.0,0.0,0.0
2014,7,185,Tampa Bay Lightning,Cameron Darcy,C,0.0,0.0,0.0
2014,7,186,Vancouver Canucks,Mackenze Stewart,D,0.0,0.0,0.0
2014,7,187,Carolina Hurricanes,Kyle Jenkins,D,0.0,0.0,0.0
2014,7,188,Toronto Maple Leafs,Pierre Engvall,L,380.0,135.0,645.62
2014,7,189,Ottawa Senators,Kelly Summers,D,0.0,0.0,0.0
2014,7,190,Ottawa Senators,Francis Perron,L,0.0,0.0,0.0
2014,7,191,Arizona Coyotes,Jared Fiegl,F,0.0,0.0,0.0
2014,7,192,Winnipeg Jets,Matt Ustaski,F,0.0,0.0,0.0
2014,7,193,Arizona Coyotes,Edgars Kulda,L,0.0,0.0,0.0
2014,7,194,Washington Capitals,Kevin Elgestal,F,0.0,0.0,0.0
2014,7,195,Dallas Stars,Patrick Sanvido,D,0.0,0.0,0.0
2014,7,196,Detroit Red Wings,Axel Holmstrom,F,0.0,0.0,0.0
2014,7,197,Columbus Blue Jackets,Olivier Leblanc,D,0.0,0.0,0.0
2014,7,198,Philadelphia Flyers,Jesper Pettersson,D,0.0,0.0,0.0
2014,7,199,Minnesota Wild,Pavel Jenys,R,0.0,0.0,0.0
2014,7,200,New York Islanders,Lukas Sutter,C,0.0,0.0,0.0
2014,7,201,Detroit Red Wings,Alexander Kadeykin,C,0.0,0.0,0.0
2014,7,202,St. Louis Blues,Dwyer Tschantz,F,0.0,0.0,0.0
2014,7,203,Pittsburgh Penguins,Jeff Taylor,D,0.0,0.0,0.0
